Data,Iprec
63.96,0.2
64,0.4
64.04,0.4
64.08,0
64.13,0
64.17,0.8
64.21,0
64.25,0.2
64.29,0.2
64.33,0
64.38,0.2
64.42,0
64.46,0
64.5,0.4
64.54,0
64.58,0
64.63,0
64.67,0
64.71,0.2
64.75,0
64.79,0
64.83,0
64.88,0
64.92,0
64.96,0
65,0
65.04,0
65.08,0
65.13,0
65.17,0
65.21,0
65.25,0
65.29,0
65.33,0
65.38,0
65.42,0
65.46,0
65.5,0
65.54,0
65.58,0
65.63,0.2
65.67,0
65.71,0
65.75,0
65.79,0
65.83,0
65.88,0
65.92,0
65.96,0.6
66,1.4
66.04,0.2
66.08,0.2
66.13,0.4
66.17,0
66.21,0
66.25,0.2
66.29,0.4
66.33,0.2
66.38,0
66.42,0
66.46,0.2
66.5,0.4
66.54,0.4
66.58,0.4
66.63,0.2
66.67,0
66.71,0
66.75,0
66.79,0
66.83,0
66.88,0
66.92,0
66.96,0
67,0
67.04,0
67.08,0
67.13,0.6
67.17,0.4
67.21,0.6
67.25,1.2
67.29,0.4
67.33,2.8
67.38,2.6
67.42,3.6
67.46,0.2
67.5,0
67.54,0
67.58,0
67.63,0.2
67.67,0
67.71,0
67.75,0
67.79,0
67.83,0
67.88,0
67.92,0
67.96,0
68,0
68.04,0
68.08,0
68.13,0
68.17,0.4
68.21,2.6
68.25,0
68.29,0.8
68.33,0
68.38,0
68.42,0.8
68.46,1.6
68.5,0.8
68.54,0.6
68.58,0.2
68.63,0
68.67,0.2
68.71,0.2
68.75,0.6
68.79,0
68.83,0.2
68.88,0
68.92,0
68.96,0.2
69,0
69.04,0.4
69.08,1
69.13,0.4
69.17,0.2
69.21,0
69.25,0
69.29,0.2
69.33,0
69.38,0.8
69.42,0
69.46,0
69.5,0.2
69.54,0
69.58,0
69.63,0
69.67,0
69.71,0
69.75,0.2
69.79,0.4
69.83,0
69.88,0
69.92,0
69.96,0
70,0
70.04,0
70.08,0
70.13,0
70.17,0
70.21,0
70.25,0
70.29,0
70.33,0.8
70.38,0.8
70.42,0.4
70.46,0.2
70.5,0.2
70.54,0.2
70.58,0
70.63,0
70.67,0.2
70.71,0
70.75,0
70.79,0.4
70.83,0.4
70.88,0.2
70.92,0.4
70.96,0.2
71,0
71.04,0
71.08,0
71.13,0
71.17,0
71.21,0
71.25,0
71.29,0
71.33,0
71.38,0
