Data,WindS,WindDir,RelHum,AirT,AirP,SWglobal,LWin
109.5,3.12,322.02,59.2,11.52,992.65,334.04,278.15
109.54,1.85,307.38,62.02,12.36,992.58,793.47,318.47
109.58,3.64,302.89,65.42,11.7,992.74,345.87,328.91
109.63,3.41,356.53,62.32,11.58,992.75,340.15,330.01
109.67,3.23,290.3,60.54,12.02,992.71,616.88,325.67
109.71,3.59,308.64,59.35,11.72,992.68,401.06,255.52
109.75,3.7,357.32,57.77,10.99,992.87,202.33,246.9
109.79,3.15,6.59,69.68,9.65,992.82,58,248.17
109.83,2.74,18.37,80.68,8.19,992.89,-6.27,259.16
109.88,3.28,15.29,82.92,7.73,993,-8.1,267.01
109.92,2.01,4.61,88.28,6.82,992.57,-9.37,283.09
109.96,1.35,288.47,86.68,7.35,992.33,-10.03,317.74
110,0.38,294.18,87.47,7.56,992.05,-13.42,322.17
110.04,0.27,283,84.59,7.53,991.42,-15.72,319.9
110.08,3.86,234.83,83.65,7.86,990.15,-7.03,308.52
110.13,4.63,261.57,81.35,7.98,989.31,-5.32,316.55
110.17,5.36,321.67,84.78,8.15,988.74,-4.12,333.78
110.21,4.82,215.79,86.86,8,988.17,-2.64,342.85
110.25,4.95,190.99,85.31,8.16,987.57,1.3,338.13
110.29,5.14,132.3,87.36,7.92,987.29,6.08,342.95
110.33,4.82,173.1,88.49,7.94,987.04,43.06,349.09
110.38,5.95,157.56,86.67,8.34,986.47,210.95,349.07
110.42,5.19,170.07,85.62,8.82,985.88,198.22,352.9
110.46,4.06,152.69,85.57,9.02,985.47,208.67,354.55
110.5,5.38,141.43,84.75,9.28,984.83,329.96,350.71
110.54,5.7,126.9,84.77,9.17,984.33,152.38,345.47
110.58,5.42,112,86.61,8.86,984.31,84.64,342.71
110.63,4.65,117.26,86.71,8.97,984.25,66.77,346.93
110.67,4.84,100.53,88.18,9.07,984.12,67.11,345.88
110.71,3.76,99.11,89.91,9,984.37,30.26,345.39
110.75,4.89,92.82,90.13,9.14,984.8,13.39,345.35
110.79,3.98,89.42,92.4,8.65,985.51,-0.11,347.34
110.83,6.54,74.04,93.9,8.6,986.59,-1.94,343.43
110.88,8.19,63.47,93.91,8.62,988.01,-3.06,340.88
110.92,5.62,63.15,94.33,8.18,989.32,-4.14,338.9
110.96,5.55,50.12,95.1,8,990.27,-5.17,338.9
111,5.24,36.5,93.95,8.22,991.38,-5.16,339.1
111.04,5.4,45.6,93.88,8.02,992.38,-5.2,333.23
111.08,4.22,42.49,94.26,7.95,993.19,-6.98,317.46
111.13,4.89,39.94,93.06,8.28,994.02,-5.32,318.26
111.17,4.05,25.76,93.73,8.01,995.37,-5.95,338.89
111.21,4.77,21.4,92.27,7.73,995.81,-5.67,323.75
111.25,3.37,18.18,92.02,7.39,996.69,2.7,255.62
111.29,4.69,20.28,93.19,7.43,997.89,101.26,241.86
111.33,3.25,14.2,91.2,7.58,998.91,76.42,305.76
111.38,3.54,10.59,91.01,7.95,999.87,236.45,307.24
111.42,4.8,14.14,84.71,9.95,1000.4,606.54,249.12
111.46,5.44,8.66,77.19,11.78,1001,719.84,253.94
111.5,5.31,14.2,71.29,13.08,1001,763.89,262.45
111.54,5.48,15.54,62.67,14.45,1001.2,854.56,273.77
111.58,4.66,18.97,64.46,14.3,1001.6,702.32,295.98
111.63,4.29,20.79,65.65,14.6,1001.7,580.81,298.36
111.67,4.61,31.68,68.13,14.41,1002.3,561.59,297.87
111.71,4.4,28.22,66.73,14.37,1002.6,436.26,262.87
111.75,3.74,43.39,67.68,13.92,1002.9,233.84,258.82
111.79,2.29,349.5,71.03,12.95,1003.1,72.66,255.75
111.83,0.67,347.2,79,10.65,1003.6,-9.19,254.93
111.88,0.34,288.45,80.54,9.58,1004.1,-15.22,251.18
111.92,0.92,353.11,88.05,7.24,1004,-13.92,248.76
111.96,1.18,4.85,91.16,6.29,1003.8,-12.8,254.29
112,1.01,322.89,91.82,6.32,1003.5,-12.04,265.59
112.04,0.76,40.43,91.35,7.03,1003.3,-11.33,293.5
112.08,1.81,240.79,82.91,9.33,1002.7,-9.97,292.15
112.13,1.89,233.53,85.31,8.54,1002.6,-10.24,275.89
112.17,1.47,257.09,84.03,8.52,1002.8,-11.55,266.23
112.21,2.28,243.01,87.81,8.21,1002.2,-9.42,277.38
112.25,1.59,235.52,90.6,8.1,1001.8,0.97,282.4
112.29,1.77,203.22,88.71,8.81,1001.5,60.61,276.64
112.33,2.09,221.81,79.92,9.87,1001.2,136.09,292.51
112.38,4.48,213.04,79,10.84,1000.7,267.59,313.28
112.42,6.73,215.45,73.24,12.22,999.82,293.94,309.13
112.46,7.01,229.54,67.91,13.31,999.74,366.38,321.89
112.5,8.53,224.36,70.48,12.99,999.52,451.19,323.46
112.54,7.8,224.12,64.19,12.82,998.66,352.12,326.41
112.58,8.49,238.87,79.9,11.31,998.63,241.42,341.6
112.63,7.26,252.8,89.29,10.38,998.32,229.45,343.58
112.67,7.62,246.1,90.78,9.4,997.31,240.78,344.35
112.71,7.15,233.03,94.01,8.78,997.08,244.11,344.71
112.75,6.01,241.34,94.56,9.18,996.94,114.08,346.76
112.79,5.78,250.29,94.81,9.42,996.5,50.24,348.89
112.83,4.18,241.69,94.37,10.01,996.47,1.83,354.64
112.88,3.68,241.29,94.58,10.22,996.58,-3,344.56
112.92,2.22,231.32,93.13,8.56,997.52,-2.1,341.88
112.96,6.56,258.8,89.65,7.89,997.85,-1.93,329.61
113,3.09,333.42,88.25,7.9,998.09,-4.89,321.44
113.04,3.19,346.91,83.01,7.72,998.44,-6.15,314.21
113.08,3.91,356.98,76.88,7.51,998.43,-6.04,306.16
113.13,3.92,0.88,72.69,7.02,998.59,-6.93,270.27
113.17,3.92,0.95,73.3,7.01,998.85,-6.63,272.44
113.21,3.43,0.45,73.51,6.49,998.95,-7.44,261.38
113.25,2.91,16.92,74.55,6.55,999.5,-1.48,280.27
113.29,2.12,10.32,70.88,7.2,1000.1,71.56,292.77
113.33,2.97,11.25,68.51,8.36,1000.5,157.78,299.62
113.38,4.66,27.22,61.52,9.86,1000.9,513.19,302.36
113.42,3.94,37.58,60.14,9.96,1001.2,337.43,289.34
113.46,3.69,20.61,56.88,11.27,1001.4,834.55,272.15
113.5,3.22,46.11,58.92,11.34,1001.4,477.76,320.28
113.54,1.87,18.05,59.51,11.42,1001.3,527.03,332.12
113.58,2.04,38.45,58.25,11.97,1001.1,660.08,301.19
113.63,1.05,42.09,55.13,12.53,1000.6,557.88,281.93
113.67,2.62,257.9,56.47,12.88,999.98,585.24,252.61
113.71,3.45,63.25,59.26,12.91,999.84,447.27,259.44
113.75,4.05,335.93,64.97,11.83,999.84,209.85,248.12
113.79,2.82,186.64,68.31,10.71,999.71,83.47,242.78
113.83,0.36,195.97,73.2,9.16,999.84,-7.05,240.03
113.88,1.15,224.42,85.81,6.08,1000.1,-13.71,235.85
113.92,1.21,164.08,85.4,5.76,1000.1,-12.47,235.48
113.96,1.09,258.39,88.26,5.05,1000.1,-12.56,235.68
114,0.35,49.79,87.86,4.7,999.51,-15.42,233.13
114.04,0.73,8.15,85.44,4.7,999.07,-12.63,233.27
114.08,1.96,288.96,84.81,5.74,998.42,-10.21,236.54
114.13,3.15,268.52,77.33,6.69,997.51,-8.1,241.72
114.17,1.84,133.13,73.16,6.97,996.8,-9.75,236.83
114.21,3.01,192.62,72.9,6.88,995.97,-8.43,248.63
114.25,5.9,178.32,71.62,7.1,995.41,15.93,277.59
114.29,6.77,241.95,77.67,7.24,995.03,66.76,302.19
114.33,3.9,201,79.36,7.68,994.65,42.08,331.33
114.38,3.4,200.96,78.76,8.34,994.36,80.38,334.95
114.42,5.72,209.19,81.8,8.62,993.84,157.81,336.63
114.46,7.51,203.22,78.45,9.53,993.16,323.18,325.33
114.5,8.85,205.3,79.04,9.93,992.88,276.44,340.93
114.54,8.21,204.45,86.78,9.1,992.46,186.19,347.38
114.58,8.92,204.21,88.97,9.16,992.32,223.47,348.18
114.63,7.13,211.5,90.23,9.43,992.13,99.02,349
114.67,6.73,213.78,91.14,9.65,991.67,69.8,351.47
114.71,7.28,197.77,90.51,9.99,991.21,53.38,354.36
114.75,5.9,199.9,92.38,10.54,990.62,31.22,359.14
114.79,6.31,218.82,93.71,12.28,990.48,4.76,365.87
114.83,5.94,211.22,95.61,11.99,990.48,0.54,365.79
114.88,5.9,209.81,95.97,11.91,990.85,-1.19,364.16
114.92,7.99,218.39,95.81,11.77,990.55,-1.55,361.21
114.96,7.5,227.22,95.04,12.04,990.57,-1.21,364.01
115,7.92,220.9,95.76,11.77,990.56,-1.17,364.11
115.04,7.57,220.74,95.58,11.6,990.82,-1.33,361.62
115.08,7.65,242.46,93.77,11.27,991.12,-1.23,353.73
115.13,7.09,237.65,92.06,10.25,991.73,-2.03,321.58
115.17,4.67,260.09,85.54,9.79,992.63,-3.38,289.41
115.21,4.32,292.4,80.74,8.89,993.19,-5.67,284.41
115.25,2.98,321.86,82.86,8.56,994,7.98,301.14
115.29,1.94,294.45,77.31,8.81,994.84,100.51,291.68
115.33,2.05,276.07,77.64,9.01,995.3,145.65,316.46
115.38,3.58,277.07,73.84,9.86,995.99,202.69,329.3
115.42,3.84,264.12,68.58,10.62,996.31,321.21,326.84
115.46,5.58,257.82,69.66,10.72,996.77,338.71,333.3
115.5,4.71,256.25,70.07,11.1,996.93,355.25,336.12
115.54,4.14,263.32,71.8,11.25,997.15,266.87,342.87
115.58,4.74,262.92,74.14,11,997.28,477.89,338.92
115.63,6.32,258.73,74.35,11.25,997.51,325.67,341.62
115.67,5.01,270.21,82.41,10.18,997.65,147.2,344.32
115.71,5.45,273.89,77.4,10.61,997.92,165.02,340.32
115.75,5.5,270,71.25,10.78,998.26,169.97,319.34
115.79,3.93,263.35,75.31,10.36,998.58,35.38,335.55
115.83,4.02,259.89,78.19,9.95,999.03,-1.76,334.35
115.88,4.03,249.71,77.72,9.78,999.44,-5.93,326.08
115.92,2.46,247.3,77.49,9.69,999.78,-7.5,337.2
115.96,3.24,258.33,79.01,9.67,1000.2,-6.66,333.64
116,2.09,236.71,80.58,9.47,1000.2,-8.3,324.09
116.04,2.55,205.69,77.38,9.47,1000.4,-7.76,333.8
116.08,2.27,222.81,75.61,9.44,1000.4,-7.91,336.41
116.13,3.11,295.67,78.51,9.36,1000.9,-6.75,332.56
116.17,2.48,274.33,73.16,9.34,1001,-8.05,329.36
116.21,1.69,205,71.72,9.25,1001.2,-9.14,328.24
116.25,2.89,190.52,71.85,9.3,1001.6,8.95,319.73
116.29,1.61,261.11,69.42,9.67,1002.2,62.7,326.74
116.33,3.27,270.05,72.47,9.88,1002.7,107.06,331.32
116.38,3.31,287.7,67.15,10.6,1003.1,218.61,332.72
116.42,3.33,290.38,68.71,10.89,1003.7,240.51,336.56
116.46,4.1,294.88,67.4,10.96,1003.9,269.4,338.15
116.5,4.26,300.2,67.76,11.04,1004.1,202.03,340.18
116.54,4.06,312.17,65.61,11.33,1004.3,247.7,340.68
116.58,4.7,314.09,64.61,11.28,1004.3,260.61,340.5
116.63,4.13,319.55,65.67,11.15,1004.5,195.13,339
116.67,3.84,307.33,69.42,11,1004.8,160.71,339.33
116.71,3.55,318.73,69.63,10.54,1005.2,73.09,338.04
116.75,2.98,322.36,71.78,10.4,1005.3,69.97,335.68
116.79,2.94,313.18,72.33,10.32,1005.5,43.42,323.44
116.83,2.34,358.79,74.93,10.01,1006.3,-2.5,328.27
116.88,2.23,290.01,78.21,9.85,1007.1,-7.43,328.53
116.92,1.12,207.19,79.49,9.11,1007.4,-11.7,288.8
116.96,0.48,238.93,82.79,8.29,1007.7,-14.97,272.77
117,0.48,184.75,85.01,7.68,1008.1,-15.41,255.36
117.04,1.53,349.3,90.25,7.22,1005.9,1.62,291.22
117.08,2.98,343.83,90.53,7.7,1006.2,1.79,272.63
117.13,2.94,316.15,90.02,7.46,1005.9,2.53,264.93
117.17,2.1,322.57,89.4,6.9,1006.4,2.36,261.6
117.21,2.69,321.02,90.7,6.41,1007,1.53,261.21
117.25,2.57,337.1,88.97,6.46,1007.8,34.21,257.85
117.29,3.13,327.29,89.22,7.03,1007.5,167.49,259.49
117.33,2.5,338.12,85.67,8.15,1007.5,157.23,338.56
117.38,3.9,355.39,76.37,8.76,1008.4,216.69,341.98
117.42,3.98,357.51,74.61,9.34,1009.1,348.81,341.78
117.46,3.63,11.24,72.6,10.34,1009.4,614.7,304.87
117.5,4.51,8.25,67.8,11.91,1009.5,832.55,290.56
117.54,4.02,355.33,63.43,13.01,1010.2,828.72,290.92
117.58,3.72,348.11,62.34,13.77,1010.9,721.33,300.08
117.63,4,320.16,59.59,14.1,1011.2,691.98,314.98
117.67,4.48,330.66,60.98,13.7,1010.1,594.21,291.81
117.71,4.86,333.69,63.7,12.95,1010.5,441.31,284.51
117.75,4.3,324.05,68.81,11.71,1010.7,276.28,279.5
117.79,2.42,324.48,71.89,10.42,1010.5,113.81,270.67
117.83,3.14,326.01,77.65,8.55,1010.9,5.34,266.27
117.88,2.3,352.99,80.07,8.15,1011.7,1.63,286.58
117.92,2,333.05,79.68,7.96,1011.4,2.17,266.21
117.96,2.64,349.36,83.17,7.33,1011.6,1.66,265.59
118,2.68,322.09,81.86,7.32,1011.4,2.11,264.38
118.04,3.14,336.9,82.06,7.43,1011.7,0.5,305.24
118.08,3.63,354.98,82.18,7.83,1011,1.12,298.86
118.13,3.58,0.28,83.97,7.77,1010.5,2.04,284.37
118.17,2.87,7.43,84.32,7.03,1010.1,2.36,259.1
118.21,1.29,336.48,86.5,6.33,1010.2,2.01,257.41
118.25,1.84,13.49,88.66,6.01,1011,36.25,257.82
118.29,3.34,16.19,88,6.91,1010.6,171.75,272.08
118.33,3.76,20.81,88.27,7.27,1010.4,265.96,288.42
118.38,4.93,19.22,84.21,7.63,1010.7,315.04,313.44
118.42,5.45,23.25,80.56,8.4,1010.7,487.24,297.99
118.46,5.23,19.27,70.44,10.03,1010.1,760.96,276.68
118.5,3.96,14.57,65.09,11.26,1010.2,838.25,285.47
118.54,4.63,10.31,59.32,12.34,1010.3,830.62,285.33
118.58,3.94,29.6,53.71,13.4,1010.6,791.77,290.5
118.63,4.31,11.55,50.98,14.13,1010.6,712.35,291.94
118.67,4.22,16.46,55.36,14.55,1010.1,589.56,293.71
118.71,4,1.5,58.76,14.54,1010,443.34,293
118.75,3.34,4.78,61.63,14.19,1009.7,267.23,290.3
118.79,3.51,352.82,69.62,12.94,1009.2,110.05,285.08
118.83,3.79,319.82,79.4,10.71,1008.8,6.82,278.49
118.88,4.86,327.1,80.38,9.44,1009.1,1.66,274.83
118.92,4.36,347.41,80.89,9.01,1008.9,1.86,271.86
118.96,3.55,340.56,86.04,7.97,1008.2,2.27,267.06
119,5.2,345.13,88.54,7.47,1007.7,1.66,267.63
119.04,2.17,345.21,89.72,6.97,1007.4,2.17,271.09
119.08,3.27,345.39,90.31,6.79,1007.5,0.4,325.57
119.13,5.9,8.46,89.9,6.69,1006.7,0.84,314.74
119.17,4.17,350.72,89.61,6.52,1006.3,0.56,322.88
119.21,2.68,5.58,88.37,6.74,1005.8,0.05,336.18
119.25,3.58,6.64,88.31,6.85,1005.8,16.68,336.16
119.29,4.37,8.47,85.74,6.93,1005.7,91.01,330.35
119.33,4.94,359.83,86.44,6.86,1005.4,151.25,334.96
119.38,3.78,3.48,87.14,6.86,1005.5,192.88,339.72
119.42,3.33,12.92,86.13,7.52,1005.4,282.53,343.96
119.46,3.88,0.57,82.86,8.54,1005,458.01,332.99
119.5,4.26,353.99,81.31,8.89,1004.6,506.47,339.97
119.54,3.54,0.63,79.62,9.66,1004.4,651.55,330.62
119.58,2.91,16.65,76.11,10.65,1003.9,775.78,285.46
119.63,2.99,14.56,72.06,12.03,1004.1,720.3,288.01
119.67,2.39,359.73,69.18,13.42,1004,620.37,296.55
119.71,2.38,341.79,68.4,13.84,1003.5,435.17,292.1
119.75,2.21,5.53,72.82,13.74,1003.1,267.49,291.72
119.79,1.75,26.12,77.15,12.92,1002.6,137.2,312.23
119.83,2.89,352.79,81.94,10.42,1001.5,14.18,285.76
119.88,3.62,353.85,87.4,8.03,1000.8,2.43,268.7
119.92,2.33,338.29,89.98,7.23,1000.7,2.75,264.73
119.96,2.37,334.63,92.2,6.66,999.92,2.35,262.24
120,3.33,348.91,93.21,6.57,999.51,1.52,299.87
120.04,4.01,324.61,89.49,6.83,998.79,0.17,331.69
120.08,4.31,343.18,88.82,6.36,997.92,0.47,329.86
120.13,3.08,341.86,88.53,5.76,996.79,1.05,306.61
120.17,3.44,331.69,89.52,5.89,996.16,0.29,328.08
120.21,3.04,327.75,90.28,6.17,995.57,0.2,337.13
120.25,2.17,324.12,91,6.44,994.83,6.97,338.81
120.29,3.18,325.86,89.47,6.64,994.39,40.18,339.39
120.33,3,301.15,88.65,6.9,993.97,67.49,340.42
120.38,2.79,298.95,87.77,7.13,993.33,105.68,341.38
120.42,2.01,287.69,86.24,8.02,992.74,356.11,340.81
120.46,2.26,280.13,81.82,9.52,991.79,338.5,352.15
120.5,3.11,228.65,83.07,9.79,990.73,173.53,353.15
120.54,3.33,230.32,80.96,10.37,990.02,254.94,356.05
120.58,3.75,238.14,88.93,10.22,988.99,190.17,361.78
120.63,4.15,238.95,92.31,10.31,988.16,127.97,359.91
120.67,4.08,241.26,93.85,10.42,987.45,140.17,358.08
120.71,3.95,246.48,92.72,10.44,986.56,85.99,355.53
120.75,4.79,248.76,90.12,10.02,985.43,79.79,349.15
120.79,5.73,249.4,94.24,9.39,984.97,25.65,354.23
120.83,4.48,312.39,92.24,9.31,984.95,6.83,347.67
120.88,4.7,310.43,88.66,9.23,984.74,2.46,336.23
120.92,4.51,324.71,86.38,8.21,984.6,0.04,307.56
120.96,6.22,330.48,84.74,7.55,983.91,1.6,260.25
121,4.21,318.83,84.5,6.67,983.85,2.12,251.96
121.04,2.51,293.88,86.83,5.97,983.82,2.26,253.14
121.08,3.38,302.79,87.6,5.64,983.75,2.17,252.23
121.13,3.32,300.43,89.05,5.19,983.5,2.01,249.57
121.17,3.92,310.3,88.3,5.39,983.85,1.57,271.79
121.21,5.65,310.19,86.61,5.59,983.81,0.3,281.46
121.25,3.49,301.79,85.31,5.08,984.22,31.32,293.68
121.29,3.3,288.83,86.87,5.43,984.61,134.2,302.76
121.33,3.97,314.19,82.13,6.32,983.6,222.78,296.91
121.38,5.34,314.58,75.33,6.96,983.58,313.97,306.25
121.42,4.31,308.98,69.78,7.5,983.91,392.16,287.09
121.46,4.06,293.21,69.91,8.22,983.76,547.71,316.49
121.5,3.94,288.01,67.71,8.37,983.61,428.57,313.12
121.54,3.61,287.43,61.93,9.59,983.65,647.12,313.97
121.58,3.51,265.79,54.44,10.23,983.41,477.27,320.92
121.63,2.94,290.86,60.85,9.83,983.22,289.76,333.97
121.67,2.75,279.49,63.6,9.59,983.08,206.87,336.34
121.71,2.53,264.15,68.34,8.91,983.01,110.37,338.89
121.75,4.37,242.08,66.34,9.06,982.72,152.44,302
121.79,3.28,233.62,71.39,7.95,982.41,63.71,298.66
121.83,3.7,224,74.46,7.27,982.38,6.96,317.48
121.88,4.2,202.13,82.62,6.7,981.86,0.79,310.64
121.92,3.4,181.79,86.52,6.54,981.08,0.68,322.19
121.96,3.57,181.49,88.77,6.69,980.67,0.57,332.63
122,4.88,193.45,87.53,7.07,979.59,0.46,337.28
122.04,5.78,202.24,94.08,6.76,978.51,0.12,341.91
122.08,5.66,192.41,93.03,7.22,977.37,0.45,341.25
122.13,6.86,197.26,91.55,7.18,976.37,0.77,341.4
122.17,7.29,194.04,92.5,7.14,975.44,0.71,343.1
122.21,7.82,191.96,92.78,7.75,974.53,0.9,345.05
122.25,7.87,194.82,90.47,8.17,974.12,7.85,346.42
122.29,8.39,189.47,92.42,8.31,973.47,20.78,349.28
122.33,8.42,195.34,94.04,8.53,973.1,34.77,351.2
122.38,8.48,199.99,92.61,8.96,972.73,44.01,353.14
122.42,9.2,200.84,90.86,9.4,972.36,61.05,354.02
122.46,9.41,196.6,91.5,9.46,971.72,73.52,355.03
122.5,6.87,228.1,92.66,8.61,971.82,99.37,352.02
122.54,3.52,227.25,91.12,7.23,972.32,147.97,345.12
122.58,4.81,215.62,93.23,7.96,973.01,276.21,345.82
122.63,6.49,231.97,85.33,9.37,973.99,509.86,329.3
122.67,7.28,224.97,81.33,9.55,974.15,253.74,339.63
122.71,6.75,219.12,86.81,8.99,974.28,211.74,328.9
122.75,6.19,230.58,85.71,8.17,975.27,346.55,301.8
122.79,5.53,217.22,87.94,8.06,976.32,66.63,304.42
122.83,4.92,225.04,87.36,7.86,977.05,8.7,286.27
122.88,3.91,222.59,86.66,7.08,978.13,2.41,260.8
122.92,2.96,223.08,90.12,6.23,978.89,2.42,261.24
122.96,1.85,194.96,91.18,5.47,979.36,2.41,256.21
123,3.99,202.79,89.86,6.3,980.16,1.88,257.56
123.04,3.91,201.01,89.86,6.87,980.54,0.53,305.1
123.08,6.1,203.02,87.63,7.59,980.41,1.42,271.69
123.13,5.69,199.64,89.45,7.89,980.81,0.36,329.24
123.17,7.36,201.84,89.16,8.51,980.52,0.09,346
123.21,7.63,202.94,88.61,8.97,980.61,0.34,347.73
123.25,7.71,204.73,89.44,9.28,980.97,20.74,351.16
123.29,8.76,206.43,88.22,9.7,981.19,33.35,352.68
123.33,8.14,211.03,89.1,9.91,981.76,62.8,355.34
123.38,8.03,202.43,91.8,9.84,982.28,119.44,357.13
123.42,8.24,213.52,88.83,10.53,983.42,166.05,356.53
123.46,8.08,209.89,89.57,10.78,983.92,370.97,359.4
123.5,7.65,203.87,85.94,11.44,984.57,320.22,357.05
123.54,6.68,210.84,88.13,11.01,985.29,190.77,356.69
123.58,4.77,213.74,91,11.14,986.17,314.04,356.12
123.63,6.99,204.31,79.15,12.67,986.65,679.15,314.74
123.67,5.8,193.8,81.74,12.16,987.04,321.42,353.44
123.71,4.45,204.14,92.95,11.04,987.06,169.28,360.02
123.75,4.84,192.65,93.51,10.59,987.43,67.55,361.72
123.79,4.77,188.77,93.03,10.55,987.82,19.54,360.35
123.83,5.4,190.11,94.01,10.29,988.09,1.94,360.17
123.88,5.35,191.53,95.33,10.03,988.54,0.04,359.84
123.92,5.71,180.13,95.61,10.02,988.79,0.05,359.36
123.96,5.77,180.01,95.32,9.94,988.72,0.02,358.4
124,5.53,179.3,95.11,9.74,988.69,0.16,357.12
124.04,5.59,184.47,93.03,9.76,988.53,0.15,352.98
124.08,5.63,186.48,92.65,9.69,988.11,0.37,341.33
124.13,5.66,183.83,92.38,9.52,988.01,0.35,347.58
124.17,5.65,185.96,92.82,9.33,987.94,0.33,346.91
124.21,5.39,177.27,92.56,9.13,987.77,0.2,346.89
124.25,4.93,180.41,93.32,9.04,987.89,15.28,345.43
124.29,4.65,170.63,93.4,9.21,988.13,83.85,342.53
124.33,5.27,175.61,91.38,9.88,987.89,245.81,335.33
124.38,4.58,166.42,88.74,10.21,987.18,230.06,326.75
124.42,5.25,171.4,85.34,10.79,987.02,370.77,342.47
124.46,5.58,166.87,84.15,11.34,986.17,570.64,342.74
124.5,4.92,170.35,87.41,11.38,986,314.23,357.24
124.54,6.23,165.95,84.16,12.18,985.69,618.21,332.59
124.58,6.51,170.01,84.62,11.6,985.82,291.47,353.69
124.63,6.12,167.94,84.71,11.6,985.54,350.61,342.19
124.67,7.07,177.99,82.43,11.56,985.26,453.43,324.2
124.71,6.43,175.76,82.51,11.41,984.71,182.53,346.93
124.75,6.28,181.35,91.8,10.52,984.13,27.37,361.84
124.79,6.91,190.36,94.77,10.26,984.37,13.19,360.78
124.83,5.31,192.64,93.69,10.02,984.78,15.5,353.63
124.88,6.24,246.85,92.02,8.12,985.95,0.61,343.69
124.92,4.74,248.88,89.28,5.95,987.52,1.5,275.76
124.96,2.26,235.93,91.59,4.75,988.33,2.6,250.42
125,1.63,218.48,93.83,4.07,989.44,1.24,283.52
125.04,1.11,169.65,94.01,4.42,990.46,1.71,278.8
125.08,2.97,190.49,94.65,5.07,990.69,1.49,298.3
125.13,2.77,183.76,95.03,5.84,991.06,1.25,313.09
125.17,3.16,187.46,95.77,7.24,991.51,0.09,345.73
125.21,4.23,190.8,94.83,7.89,991.39,1.08,316.27
125.25,5.76,183.57,93.49,8.29,991.65,47.52,321.15
125.29,6.81,187.28,91.9,8.99,992.23,36.22,350.7
125.33,4.03,200.03,94.07,8.47,992.84,69.39,350.08
125.38,6.17,206.33,89.28,10.06,993.63,510.28,330.46
125.42,6.05,196.28,76.6,11.11,993.47,550.77,313.3
125.46,5.95,206.67,74.9,11.25,993.92,365.95,307.73
125.5,6.29,202.02,75.56,11.47,994.38,548.2,313.92
125.54,6.65,190.75,68.61,12.14,994.59,740.95,311.04
125.58,6.47,194.12,68.91,12.22,994.96,640.52,335.29
125.63,6.91,195.01,71.87,11.86,995.09,526.21,317.68
125.67,6.9,186.21,68.85,12.03,994.95,605.92,306.27
125.71,6.98,178.49,78.79,11.46,994.81,357.28,339.24
125.75,5.46,180.67,86.18,11,994.33,103.07,353.8
125.79,6.47,185.7,92.89,10.17,994.22,27.68,358.57
125.83,5.03,191.72,94.22,10.11,994.32,4.61,360.73
125.88,4.53,192.6,92.67,9.12,994.3,0.47,352.88
125.92,6.51,180.04,93.93,9.95,994.34,0.86,352.61
125.96,4.98,173.9,91.54,9.19,994.07,0.92,341.29
126,5.65,185.57,94.03,9.78,993.98,0.02,336.82
126.04,4.89,174.61,93.24,9.77,993.92,0.06,348.42
126.08,4.75,168.36,93.53,9.76,993.39,0.21,352.81
126.13,4.64,178.8,92.89,9.68,992.75,0.32,343.93
126.17,4.01,165.93,93.52,9.64,992.21,0.29,350.75
126.21,5.41,149.74,94.58,8.55,991.46,0.08,348.17
126.25,3.72,124.13,94.04,7.62,990.74,11.02,329.23
126.29,4.35,128.41,94.85,7.82,990.44,76.5,341.08
126.33,6.07,172.75,94.63,8.37,989.86,45.57,350.99
126.38,3.69,182.21,93.75,7.84,989.9,296.13,331.05
126.42,6.04,179.13,86.33,9.45,989.72,532.77,335.98
126.46,6.55,173.17,70.97,10.3,989.28,631.55,311.88
126.5,7.62,165.92,80.58,9.48,988.3,264.26,349.55
126.54,7.71,190.95,79.58,9.69,988.8,532.38,334.36
126.58,7.65,185.59,75.96,9.95,988.85,460.82,340.6
126.63,8.12,183.03,82.83,9.33,988.3,171.01,344.28
126.67,7.76,189.26,82.7,9.44,988.61,192.63,345.02
126.71,7.39,189.59,86.14,9.59,988.84,362.34,326.45
126.75,6.04,200.2,79.26,9.6,989.13,143.95,324.96
126.79,5.16,206.51,82.13,9.32,989.79,96.63,322.25
126.83,4.75,196.7,88.49,8.7,989.99,7.68,312.54
126.88,3.92,202.24,91.83,8.27,990.73,0.94,323.98
126.92,3.94,197.63,92.41,7.87,991.08,1.18,303.35
126.96,4.08,195.43,92.04,7.8,991.36,1.42,291.49
127,4.21,195.05,91.25,7.68,991.87,0.8,312.6
127.04,3.13,190.83,91.6,7.25,991.99,1.67,280.64
127.08,3.37,186.83,91.98,7.12,992.05,1.77,274.94
127.13,3.35,190.93,89.71,6.88,992.24,1.44,291.96
127.17,3.05,190.17,89.94,6.81,992.5,0.76,327.02
127.21,1.49,183.87,87.51,6.12,992.39,0.77,328.06
127.25,2.09,155.95,91.6,6.76,993.06,68.91,341.34
127.29,2.87,191.57,89.05,7.66,992.97,185.66,324.23
127.33,3.98,176.61,83.78,9.14,992.8,457.16,328.56
127.38,4.9,174.46,72.63,9.94,992.92,591.63,313.01
127.42,4.41,159.87,73.81,9.86,993.31,364.33,335.28
127.46,5.45,153.47,69.35,10.75,993.58,706.65,321.88
127.5,5.5,143.76,70.98,10.5,993.67,536.18,328.85
